iter	Logloss
0	0.6868790495
1	0.6817919337
2	0.6759571677
3	0.6733709095
4	0.6688859829
5	0.6654727654
6	0.6630042527
7	0.659269291
8	0.6561511986
9	0.6530758064
10	0.6507154149
11	0.6479482441
12	0.6457044407
13	0.6415496643
14	0.63869088
15	0.6370544434
16	0.6346331994
17	0.6324165634
18	0.629913391
19	0.6277451201
20	0.6253370944
21	0.6234889839
22	0.6216321629
23	0.6198428339
24	0.6175689393
25	0.6156169107
26	0.6132096159
27	0.6114486116
28	0.6092054173
29	0.6064053534
30	0.6037902223
31	0.6023853173
32	0.6013550292
33	0.600430243
34	0.5993763206
35	0.5976759859
36	0.5957190234
37	0.5937835632
38	0.5925006676
39	0.5900646826
40	0.5889951664
41	0.5873127402
42	0.5854536045
43	0.5838158278
44	0.582831773
45	0.5819585195
46	0.5802412509
47	0.5780936905
48	0.5768777996
49	0.5757746592
50	0.5742378159
51	0.5732617407
52	0.5717277603
53	0.570552194
54	0.5684256487
55	0.5673843962
56	0.565893177
57	0.565080045
58	0.5641056145
59	0.563746774
60	0.5626077557
61	0.5617821973
62	0.5607270566
63	0.5593571158
64	0.5585962474
65	0.5573431993
66	0.5557292398
67	0.5546426678
68	0.5534150205
69	0.5519601666
70	0.5508042143
71	0.5487951709
72	0.5476780813
73	0.5461328929
74	0.5445630346
75	0.5440347333
76	0.5433962397
77	0.5421116385
78	0.5410385284
79	0.5400629405
80	0.5389596783
81	0.5378069545
82	0.5363890749
83	0.5347961304
84	0.5340856373
85	0.5334889303
86	0.5316060993
87	0.530686308
88	0.5295472288
89	0.5284016927
90	0.5269961785
91	0.5263305177
92	0.5252717222
93	0.5240535165
94	0.523223816
95	0.5220363716
96	0.5214649436
97	0.5205746953
98	0.518849508
99	0.5177382052
100	0.5168274291
101	0.5156278629
102	0.514615057
103	0.5132646085
104	0.5124986843
105	0.511127708
106	0.5097578281
107	0.5090497411
108	0.5079994735
109	0.5071670624
110	0.5054164133
111	0.5040905433
112	0.5030426208
113	0.5019540387
114	0.5015274322
115	0.5003550638
116	0.4996035761
117	0.4983845785
118	0.4973625137
119	0.4966495232
120	0.4957264731
121	0.4948679911
122	0.493809622
123	0.4929088661
124	0.4916303867
125	0.4907963918
126	0.4898148649
127	0.4887752571
128	0.4879888051
129	0.4875259247
130	0.48698739
131	0.486434967
132	0.4850611887
133	0.4835495026
134	0.4824882705
135	0.4811169897
136	0.4804073798
137	0.4787792579
138	0.4780265214
139	0.4770231875
140	0.4764763381
141	0.4749641342
142	0.4744207264
143	0.4735620008
144	0.4723686477
145	0.4714221764
146	0.4706202829
147	0.4693396715
148	0.4682837694
149	0.4675322207
150	0.4663025329
151	0.4652252502
152	0.4635719101
153	0.4623626283
154	0.4616638001
155	0.4606327202
156	0.4593746467
157	0.4579029502
158	0.4570863461
159	0.4562346255
160	0.4556780908
161	0.4550031407
162	0.4542428205
163	0.4522339598
164	0.4516348163
165	0.4503887732
166	0.4487664381
167	0.4479643313
168	0.4465286955
169	0.4452285005
170	0.4438355954
171	0.4424619694
172	0.4411998452
173	0.4402954954
174	0.4394785868
175	0.4382617212
176	0.436925435
177	0.436130181
178	0.4358775735
179	0.4354420432
180	0.4335120043
181	0.4323610165
182	0.4318839738
183	0.4307247931
184	0.4302864912
185	0.4293639284
186	0.4286285827
187	0.4266396406
188	0.4262576836
189	0.424680668
190	0.4233850414
191	0.4221837088
192	0.4207454841
193	0.4191374941
194	0.4186950196
195	0.417294744
196	0.4149277738
197	0.4132532664
198	0.4122996073
199	0.4117251337
200	0.4103900963
201	0.4101770519
202	0.4090977591
203	0.4087673652
204	0.4078807412
205	0.4064704453
206	0.4053657212
207	0.4033710838
208	0.4018043016
209	0.4014451261
210	0.4003096712
211	0.3989673241
212	0.398434698
213	0.3976510785
214	0.3967866879
215	0.3957965417
216	0.395592147
217	0.3939626241
218	0.3929973001
219	0.3923784206
220	0.3921381176
221	0.3917585971
222	0.3911687428
223	0.3902308603
224	0.389508946
225	0.3884647088
226	0.3868010439
227	0.3859291001
228	0.3854068292
229	0.3846324075
230	0.3833109842
231	0.3829129156
232	0.3817579075
233	0.3806689295
234	0.3796770473
235	0.3791754869
236	0.3788577934
237	0.3776496689
238	0.3773968786
239	0.3764418794
240	0.375452647
241	0.3750151065
242	0.3742826237
243	0.3732605894
244	0.372743953
245	0.3721678347
246	0.3709083298
247	0.3703588611
248	0.3693275071
249	0.3689403724
250	0.3686474402
251	0.3680348653
252	0.3671731549
253	0.3664774942
254	0.3661804504
255	0.3653193491
256	0.3648718798
257	0.3643347765
258	0.3633025697
259	0.3619094209
260	0.3613034551
261	0.3595994047
262	0.3584782949
263	0.3577415786
264	0.3566470574
265	0.3561472636
266	0.356026777
267	0.3551490768
268	0.3540109722
269	0.3531472516
270	0.3526119148
271	0.3515368555
272	0.3506405158
273	0.3503914412
274	0.3495531215
275	0.3489328106
276	0.3486565382
277	0.3474267895
278	0.3454890451
279	0.345156367
280	0.3441433783
281	0.3426833467
282	0.3419837266
283	0.3409462813
284	0.3401172813
285	0.3391841805
286	0.3389348013
287	0.3387281833
288	0.3379743808
289	0.3368243981
290	0.3361833767
291	0.3351474541
292	0.334669254
293	0.3335657177
294	0.3330020257
295	0.3326134596
296	0.3317610689
297	0.3303586004
298	0.3296120771
299	0.3287995542
