iter	Passed	Remaining
0	109	32866
1	112	16703
2	116	11492
3	120	8922
4	126	7458
5	132	6478
6	136	5726
7	142	5209
8	148	4798
9	153	4453
10	158	4154
11	161	3885
12	165	3654
13	168	3443
14	171	3263
15	174	3102
16	177	2951
17	179	2814
18	181	2691
19	184	2577
20	186	2477
21	188	2382
22	190	2292
23	192	2210
24	193	2133
25	195	2063
26	197	1995
27	199	1934
28	200	1876
29	202	1822
30	204	1771
31	205	1724
32	207	1681
33	209	1638
34	211	1597
35	212	1560
36	214	1526
37	216	1492
38	218	1460
39	220	1430
40	221	1401
41	223	1372
42	225	1345
43	227	1320
44	228	1295
45	230	1272
46	232	1249
47	233	1228
48	235	1207
49	237	1186
50	238	1165
51	240	1146
52	242	1127
53	243	1110
54	245	1093
55	247	1076
56	248	1061
57	250	1045
58	252	1029
59	253	1015
60	255	1001
61	257	987
62	258	973
63	260	960
64	262	948
65	264	936
66	265	924
67	267	912
68	269	900
69	270	889
70	272	878
71	273	867
72	275	856
73	277	847
74	279	837
75	281	828
76	282	818
77	284	809
78	286	800
79	287	791
80	289	782
81	291	773
82	292	765
83	294	757
84	296	749
85	298	742
86	300	734
87	301	726
88	303	719
89	304	711
90	306	704
91	308	696
92	309	689
93	311	683
94	313	676
95	315	670
96	317	663
97	318	657
98	320	650
99	322	644
100	324	638
101	325	632
102	327	626
103	329	620
104	330	614
105	332	609
106	334	603
107	336	597
108	337	591
109	339	586
110	341	581
111	343	576
112	344	570
113	346	565
114	349	561
115	350	556
116	352	550
117	353	545
118	355	541
119	357	536
120	359	531
121	360	526
122	362	522
123	364	517
124	366	512
125	368	508
126	369	503
127	371	499
128	373	494
129	374	489
130	376	485
131	377	481
132	379	476
133	381	472
134	383	468
135	384	464
136	386	459
137	388	455
138	389	451
139	391	447
140	393	443
141	394	439
142	396	435
143	398	431
144	399	427
145	401	423
146	403	419
147	404	415
148	406	411
149	408	408
150	410	404
151	411	400
152	413	397
153	415	393
154	416	389
155	418	386
156	419	382
157	421	378
158	423	375
159	425	372
160	426	368
161	428	365
162	430	361
163	432	358
164	433	355
165	435	351
166	437	348
167	439	345
168	441	341
169	442	338
170	444	335
171	446	332
172	448	329
173	450	325
174	451	322
175	453	319
176	455	316
177	457	313
178	459	310
179	461	307
180	462	304
181	464	301
182	466	298
183	468	295
184	469	292
185	471	289
186	473	286
187	475	283
188	476	280
189	478	277
190	480	274
191	482	271
192	483	268
193	485	265
194	487	262
195	489	259
196	491	256
197	492	253
198	494	250
199	496	248
200	498	245
201	499	242
202	501	239
203	503	236
204	504	233
205	506	231
206	508	228
207	510	225
208	512	222
209	513	220
210	515	217
211	517	214
212	519	212
213	521	209
214	522	206
215	524	203
216	526	201
217	528	198
218	529	195
219	531	193
220	533	190
221	534	187
222	536	185
223	538	182
224	540	180
225	541	177
226	543	174
227	545	172
228	547	169
229	548	167
230	550	164
231	552	161
232	553	159
233	555	156
234	557	154
235	559	151
236	561	149
237	562	146
238	564	144
239	566	141
240	568	139
241	570	136
242	571	134
243	573	131
244	575	129
245	577	126
246	578	124
247	580	121
248	582	119
249	584	116
250	586	114
251	587	111
252	589	109
253	591	107
254	593	104
255	594	102
256	596	99
257	598	97
258	599	94
259	601	92
260	603	90
261	604	87
262	606	85
263	608	82
264	609	80
265	611	78
266	612	75
267	614	73
268	616	71
269	617	68
270	619	66
271	621	63
272	623	61
273	625	59
274	626	56
275	628	54
276	629	52
277	631	49
278	633	47
279	635	45
280	637	43
281	638	40
282	640	38
283	642	36
284	643	33
285	645	31
286	646	29
287	648	27
288	650	24
289	652	22
290	654	20
291	655	17
292	657	15
293	659	13
294	661	11
295	662	8
296	664	6
297	666	4
298	667	2
299	669	0
