Student_ID,Age,Gender,Academic_Performance,AI_Exposure_Level,EI_Score,Preferred_AI_Feature,Satisfaction_With_AI_Interaction,Emotion_Recognition_By_AI_Accuracy (%),Willingness_To_Use_EI_Aware_AI_Tools,Simulated_Response,Sentiment,HERA_Recommendation
S1000,23,Male,8,High,81,Chatbot,3,63.35,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1001,20,Male,6.46,High,49,Emotional Support Bot,5,76.73,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1002,29,Other,8.47,Medium,71,Feedback System,3,92.94,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1003,27,Male,9.3,Low,98,Emotional Support Bot,2,66.29,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1004,24,Other,8.9,High,73,Chatbot,1,97.7,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1005,29,Other,5.2,Medium,48,Feedback System,4,56.09,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1006,21,Other,7.4,Medium,56,Emotional Support Bot,3,50.91,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1007,23,Female,5.52,Medium,50,Emotional Support Bot,2,95.21,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1008,26,Female,6.21,High,71,TutorBot,4,53.43,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1009,19,Female,9.93,High,49,TutorBot,4,99.59,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1010,23,Other,5.71,Low,61,TutorBot,5,97.57,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1011,27,Female,7.49,Low,96,Feedback System,4,56.85,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1012,27,Female,8.09,High,56,Chatbot,2,76.88,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1013,24,Male,8.51,Medium,43,Chatbot,2,59.25,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1014,21,Female,7.8,Medium,87,TutorBot,3,71.41,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1015,20,Female,5.05,Medium,91,TutorBot,3,53.07,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1016,24,Other,6.63,Low,86,TutorBot,3,61.2,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1017,24,Other,7.59,Medium,64,Emotional Support Bot,4,68.16,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1018,19,Other,5.44,Low,98,TutorBot,4,71.93,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1019,22,Other,6.75,Low,60,Emotional Support Bot,5,98.87,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1020,21,Other,5.17,Medium,76,Chatbot,3,90.39,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1021,18,Other,5.39,Medium,77,Feedback System,1,86.87,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1022,24,Female,6.98,High,88,Feedback System,5,76.85,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1023,28,Other,5.66,High,40,Feedback System,1,92,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1024,22,Other,7.84,Medium,64,Feedback System,4,66.97,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1025,18,Male,8.45,Low,90,Emotional Support Bot,5,85.44,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1026,28,Female,9,Low,75,Emotional Support Bot,5,99.69,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1027,21,Female,6,Low,56,TutorBot,2,65.73,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1028,17,Female,5.84,Low,80,Emotional Support Bot,4,83.7,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1029,28,Other,5.52,Low,63,TutorBot,4,92.22,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1030,26,Other,8.18,High,41,TutorBot,5,95.79,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1031,22,Other,8.53,Medium,79,Feedback System,4,85.9,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1032,29,Male,5.16,High,54,Emotional Support Bot,5,64.18,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1033,28,Other,9.68,Low,71,Emotional Support Bot,2,66.31,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1034,25,Male,5.26,Low,78,TutorBot,5,51.04,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1035,17,Female,7.71,Low,98,TutorBot,4,88.04,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1036,27,Other,8.55,Low,45,Chatbot,4,52.14,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1037,27,Male,9.35,Medium,40,Chatbot,5,93.23,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1038,26,Male,8.57,Low,86,TutorBot,5,55.93,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1039,28,Other,9.01,Medium,62,Chatbot,5,58.59,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1040,28,Female,6.7,Low,97,Chatbot,3,73.83,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1041,19,Female,9.07,Medium,78,TutorBot,4,86.89,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1042,28,Female,5.4,High,100,TutorBot,4,56.95,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1043,23,Male,9.47,Low,96,Emotional Support Bot,3,72,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1044,20,Male,7.74,Medium,56,TutorBot,5,74.14,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1045,25,Male,9.09,High,73,TutorBot,2,60.61,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1046,19,Male,7.26,Low,98,Feedback System,5,55.78,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
