Student_ID,Gender,Age,Course,GPA,Stress_Level,Time_Management_Score,Sleep_Hours,Exercise_Frequency,Mentorship_Access,EI_Score,AI_Awareness_Level,Social_Media_Hours,Part_Time_Job,Study_Technique_Effectiveness,Simulated_Response,Sentiment,HERA_Recommendation
S0001,Other,24,BCA,6.19,3,3,6.1,Rarely,No,87.68,Moderate,5.4,Yes,2,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0002,Male,20,B.Tech CSE,6.68,4,1,8.9,Rarely,No,98.41,Moderate,5.5,No,3,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0003,Other,20,B.Tech CSE,6.57,4,5,5.4,Rarely,No,88.98,Low,2.9,No,1,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0004,Other,24,MCA,6.46,3,3,7.2,Daily,Yes,51.12,High,3.4,Yes,1,I feel overwhelmed and stressed about my studies. I have a balanced approach but get stressed occasionally.,Neutral,Time Management Technique
S0005,Male,22,MCA,7.63,2,1,6.7,Rarely,No,79.99,Moderate,2.1,No,5,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0006,Male,21,B.Tech AI,6.55,3,4,5.6,Few times a week,Yes,84.77,Moderate,2.2,No,3,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0007,Other,24,B.Tech IT,8.02,3,3,6,Few times a week,Yes,91.27,Moderate,4.6,Yes,2,I feel confident in managing my academics and emotions. I have a balanced approach but get stressed occasionally.,Positive,Motivational Boost + Peer Collaboration
S0008,Female,23,BCA,9.66,3,5,6.5,Few times a week,No,52.8,High,5.4,No,3,I feel overwhelmed and stressed about my studies. I have a balanced approach but get stressed occasionally.,Neutral,Time Management Technique
S0009,Other,19,B.Tech AI,6.7,2,3,5.7,Rarely,Yes,74.01,Moderate,2,Yes,1,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0010,Other,21,MCA,7.15,1,4,6.2,Few times a week,Yes,76.77,Moderate,3.4,No,2,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0011,Other,21,BCA,7.38,1,3,4.1,Daily,Yes,58.46,Low,2.6,Yes,3,I feel overwhelmed and stressed about my studies. I handle academic pressure quite well.,Neutral,Time Management Technique
S0012,Other,20,MCA,8.81,4,5,7.2,Never,Yes,66.12,High,4.3,No,1,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0013,Male,21,BCA,6.92,4,1,7.7,Rarely,No,72.01,Low,2.4,Yes,2,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0014,Other,24,B.Tech IT,6.17,2,5,7,Few times a week,Yes,91.66,High,0.1,Yes,2,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0015,Female,23,B.Tech AI,5.73,5,1,8.8,Daily,No,96.47,High,4.5,No,1,I feel confident in managing my academics and emotions. Deadlines and exams make me anxious.,Positive,Motivational Boost + Peer Collaboration
S0016,Male,23,BCA,6.94,1,2,7.2,Never,Yes,81.42,High,2.5,Yes,2,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
S0017,Female,18,B.Tech CSE,6.55,4,5,7.6,Daily,Yes,69.75,Low,2.7,Yes,1,"Sometimes I manage well, but I do feel pressure during exams. Deadlines and exams make me anxious.",Negative,Emotion Diary Entry + Self-reflection Prompt
S0018,Female,23,B.Tech CSE,9.01,1,5,7.7,Few times a week,No,62.7,Low,3.7,No,4,"Sometimes I manage well, but I do feel pressure during exams. I handle academic pressure quite well.",Neutral,Time Management Technique
S0019,Female,23,BCA,8.77,2,4,3.7,Daily,Yes,99.11,Low,3.5,Yes,4,I feel confident in managing my academics and emotions. I handle academic pressure quite well.,Positive,Motivational Boost + Peer Collaboration
